LIM,FIELD,Collected,Delivered,NOX,NO2,NO3,O_Phos
210342-022,ARTG SFC,10/14/2020,9/2/2021,0.075,0.027,0.048,0.057
210342-023,ARTG SFC,10/14/2020,9/2/2021,0.068,0.022,0.046,0.059
210342-024,ARTG SFC,10/14/2020,9/2/2021,0.072,0.025,0.047,0.041
210342-025,ARTG SFC #1,10/28/2020,9/2/2021,0.086,0.014,0.072,0.05
210342-026,ARTG SFC #2,10/28/2020,9/2/2021,0.104,0.012,0.092,0.047
210342-027,ARTG SFC #3,10/28/2020,9/2/2021,0.065,0.007,0.058,0.047
210342-028,WLIS SFC 1,3/17/2021,9/2/2021,0.008,0.006,ND,0.051
210342-029,WLIS SFC 2,3/17/2021,9/2/2021,0.004,0.008,ND,0.035
210342-030,EXRX SFC,3/17/2021,9/2/2021,0.004,0.006,ND,0.039
210342-031,EXRX SFC 1,3/17/2021,9/2/2021,ND,0.005,ND,0.039
210342-032,ARTG SFC,4/29/2021,9/2/2021,0.005,0.005,ND,0.033
210342-033,ARTG SFC,4/29/2021,9/2/2021,ND,0.004,ND,0.03
210342-034,EXRX SFC,6/7/2021,9/2/2021,0.038,0.014,0.024,0.035
210342-035,EXRX SFC,6/7/2021,9/2/2021,0.065,0.021,0.044,0.053
210342-036,ARTG SFC,7/28/2021,9/2/2021,0.004,ND,ND,0.035
210342-037,ARTG SFC,7/28/2021,9/2/2021,0.007,0.006,ND,0.034
210342-038,EXRX SFC,7/28/2021,9/2/2021,0.005,0.005,ND,0.032
210342-039,EXRX SFC,7/28/2021,9/2/2021,0.003,0.007,ND,0.05
210342-040,WLIS SFC,7/28/2021,9/2/2021,0.005,0.004,ND,0.04
210342-041,WLIS SFC,7/28/2021,9/2/2021,0.003,0.004,ND,0.043
220214-001,EXRX SFL #1,9/7/2021,8/5/2022,0.196,0.035,0.161,0.058
220214-002,EXRX SFL #2,9/7/2021,8/5/2022,0.158,0.029,0.129,0.051
220214-003,WLIS SFL #1,9/7/2021,8/5/2022,0.107,QNS,QNS,0.099
220214-004,WLIS SFL #2,9/7/2021,8/5/2022,0.113,0.023,0.09,0.059
220214-005,ARTG SFL #1,9/7/2021,8/5/2022,0.011,0.018,ND,0.043
220214-006,ARTG SFL #2,9/7/2021,8/5/2022,0.002,0.005,ND,0.044
220214-007,EXRX SFL #1,4/20/2022,8/5/2022,0.031,0.005,0.026,0.037
220214-008,EXRX SFL #2,4/20/2022,8/5/2022,0.037,0.026,0.011,0.037
220214-009,WLIS SFL #1,4/20/2022,8/5/2022,ND,0.006,ND,0.032
220214-010,WLIS SFL #2,4/20/2022,8/5/2022,0.003,0.01,ND,0.031
220214-011,ARTG SFL #1,6/24/2022,8/5/2022,ND,0.013,ND,0.021
220214-012,ARTG SFL #2,6/24/2022,8/5/2022,ND,ND,ND,0.023
220214-013,NSS,NSS,NSS,NSS,NSS,NSS,NSS
220214-014,EXRX SFL #1,7/6/2022,8/5/2022,ND,0.003,ND,0.046
220214-015,EXRX SFL #2,7/6/2022,8/5/2022,ND,0.014,ND,0.05
220214-016,WLIS SFL #1,7/6/2022,8/5/2022,0.002,0.006,ND,0.027
220214-017,WLIS SFL #2,7/6/2022,8/5/2022,ND,0.006,ND,0.026
220214-018,ARTG SFL #1,7/6/2022,8/5/2022,ND,0.003,ND,0.025
220214-019,ARTG SFL #2,7/6/2022,8/5/2022,0.002,0.011,ND,0.025
220214-020,EXRX SFL #1,7/22/2022,8/5/2022,ND,0.004,ND,0.054
220214-021,EXRX SFL #2,7/22/2022,8/5/2022,ND,0.008,ND,0.029
220214-022,WLIS SFL #1,7/22/2022,8/5/2022,ND,0.015,ND,0.034
220214-023,WLIS SFL #2,7/22/2022,8/5/2022,0.003,0.003,ND,0.037
220214-024,ARTG SFL #1,7/22/2022,8/5/2022,ND,0.003,ND,0.029
220214-025,ARTG SFL #2,7/22/2022,8/5/2022,0.008,ND,ND,0.034
230159-001,EXRX SFC1,8/11/2022,6/15/2023,0.004,ND,0.003,NSS
230159-002,EXRX SFC2,8/11/2022,6/15/2023,0.003,ND,0.002,NSS
230159-003,WLIS SFC1,8/11/2022,6/15/2023,0.004,ND,0.003,NSS
230159-004,WLIS SFC2,8/11/2022,6/15/2023,0.017,ND,0.016,NSS
230159-005,ARTG SFC1,8/11/2022,6/15/2023,0.005,ND,0.004,NSS
230159-006,ARTG SFC2,8/11/2022,6/15/2023,0.005,ND,0.003,NSS
230159-007,EXRX SFC1,8/25/2022,6/15/2023,0.018,0.004,0.014,NSS
230159-008,EXRX SFC2,8/25/2022,6/15/2023,0.019,0.004,0.015,NSS
230159-009,WLIS SFC1,8/25/2022,6/15/2023,0.003,ND,0.003,NSS
230159-010,WLIS SFC2,8/25/2022,6/15/2023,ND,ND,0.002,NSS
230159-011,ARTG SFC1,8/25/2022,6/15/2023,0.006,ND,0.006,NSS
230159-012,ARTG SFC2,8/25/2022,6/15/2023,0.003,ND,0.003,NSS
230159-013,EXRX SFC1,9/8/2022,6/15/2023,0.113,0.02,0.093,NSS
230159-014,EXRX SFC2,9/8/2022,6/15/2023,0.169,0.03,0.139,NSS
230159-015,WLIS SFC1,9/8/2022,6/15/2023,0.092,0.014,0.078,NSS
230159-016,WLIS SFC2,9/8/2022,6/15/2023,0.121,0.018,0.103,NSS
230159-017,EXRX SFC1,9/21/2022,6/15/2023,0.217,0.045,0.172,NSS
230159-018,EXRX SFC2,9/21/2022,6/15/2023,0.219,0.044,0.175,NSS
230159-019,WLIS SFC1,9/20/2022,6/15/2023,0.11,0.024,0.087,NSS
230159-020,WLIS SFC2,9/20/2022,6/15/2023,0.11,0.024,0.086,NSS
230159-021,ARTG SFC1,9/20/2022,6/15/2023,0.008,ND,0.006,NSS
230159-022,ARTG SFC2,9/20/2022,6/15/2023,0.01,ND,0.008,NSS
230159-023,EXRX SFC1,10/12/2022,6/15/2023,0.187,0.026,0.161,NSS
230159-024,EXRX SFC2,10/12/2022,6/15/2023,0.188,0.026,0.162,NSS
230159-025,WLIS SFC1,10/12/2022,6/15/2023,0.096,0.008,0.088,NSS
230159-026,WLIS SFC2,10/12/2022,6/15/2023,0.108,0.009,0.099,NSS
230159-027,ARTG SFC1,10/12/2022,6/15/2023,0.065,0.003,0.062,NSS
230159-028,ARTG SFC2,10/12/2022,6/15/2023,0.065,0.003,0.062,NSS
230159-029,WLIS SFC1,12/9/2022,6/15/2023,0.083,0.012,0.071,NSS
230159-030,WLIS SFC2,12/9/2022,6/15/2023,0.063,0.009,0.054,NSS
230159-031,ARTG SFC1,12/9/2022,6/15/2023,0.082,0.014,0.068,NSS
230159-032,ARTG SFC2,12/9/2022,6/15/2023,0.069,0.012,0.057,NSS
230159-033,EXRX SFC1,1/19/2023,6/15/2023,0.008,ND,0.007,NSS
230159-034,EXRX SFC2,1/19/2023,6/15/2023,0.008,ND,0.007,NSS
230159-035,WLIS SFC1,1/19/2023,6/15/2023,0.015,ND,0.014,NSS
240208-001,WLIS SFC1,3/28/2024,7/11/2024,ND,ND,ND,NSS
240208-002,WLIS SFC2,3/28/2024,7/11/2024,ND,ND,ND,NSS
240208-003,CLIS SFC1,4/17/2024,7/11/2024,ND,ND,ND,NSS
240208-004,CLIS SFC2,4/17/2024,7/11/2024,ND,ND,ND,NSS
240208-005,ARTG SFC1,5/20/2024,7/11/2024,0.003,ND,0.003,NSS
240208-006,ARTG SFC2,5/20/2024,7/11/2024,ND,ND,ND,NSS
240208-007,CLIS SFC1,5/20/2024,7/11/2024,0.005,ND,0.005,NSS
240208-008,CLIS SFC2,5/20/2024,7/11/2024,0.005,ND,0.005,NSS
240208-009,ARTG SFC1,5/23/2023,7/11/2024,ND,ND,ND,NSS
240208-010,ARTG SFC2,5/23/2023,7/11/2024,ND,ND,ND,NSS
240208-011,CLIS SFC1,5/23/2023,7/11/2024,ND,ND,ND,NSS
240208-012,CLIS SFC2,5/23/2023,7/11/2024,ND,ND,ND,NSS
240208-013,EXRX SFC1,6/5/2024,7/11/2024,ND,ND,ND,NSS
240208-014,EXRX SFC2,6/5/2024,7/11/2024,0.003,ND,0.003,NSS
240208-015,WLIS SFC1,6/5/2024,7/11/2024,ND,ND,ND,NSS
