,windSpd_Kts,windSpd_Max,fiveSecAvg_Max,windDir_M,airTemp_Avg,relHumid_Avg,baroPress_Avg,dewPT_Avg
upper,60,80,80,360,35,100,1040,35
lower,0,0,0,0,-10,10,920,-28
