,windSpd_Kts,windDir_M,windDir_STD,windSpd_Max,windDir_SMM,fiveSecAvg_Max,airTemp_Avg,relHumid_Avg,baroPress_Avg,dewPT_Avg
Max_Value,35,360,100,50,360,50,35,100,1040,27
Min_Value,0,0,0,0,0,0,-10,30,980,-15
